combined_shot_type;loc_x;loc_y;minutes_remaining;period;playoffs;season;seconds_remaining;shot_distance;shot_made_flag;shot_type
Dunk;0;0;11;1;1;2005-06;49;0;1;2PT Field Goal
Jump Shot;82;233;5;4;1;2003-04;11;24;1;3PT Field Goal
Jump Shot;69;250;6;1;1;2002-03;57;25;1;3PT Field Goal
Jump Shot;143;22;8;3;0;2014-15;40;14;0;2PT Field Goal
Jump Shot;167;176;3;3;0;2003-04;51;24;0;3PT Field Goal
Jump Shot;-63;149;1;4;1;1999-00;9;16;1;2PT Field Goal
Jump Shot;42;173;2;3;0;2011-12;48;17;0;2PT Field Goal
Jump Shot;12;206;7;1;0;2011-12;59;20;0;2PT Field Goal
Jump Shot;-130;81;5;3;0;2005-06;24;15;0;2PT Field Goal
Jump Shot;-94;238;1;3;0;2000-01;56;25;0;3PT Field Goal
Layup;10;3;5;1;0;2015-16;14;1;1;2PT Field Goal
Jump Shot;1;96;8;1;0;1998-99;58;9;0;2PT Field Goal
Jump Shot;0;36;4;1;0;2011-12;56;3;0;2PT Field Goal
Jump Shot;5;36;11;1;0;2007-08;39;3;1;2PT Field Goal
Jump Shot;146;153;4;1;0;2013-14;55;21;0;2PT Field Goal
Jump Shot;-106;184;2;4;0;2009-10;22;21;1;2PT Field Goal
Jump Shot;81;-5;1;2;0;2015-16;5;8;0;2PT Field Goal
Jump Shot;73;129;5;1;0;2001-02;59;14;0;2PT Field Goal
Jump Shot;134;156;6;2;0;2001-02;3;20;0;2PT Field Goal
Jump Shot;225;69;4;1;0;2014-15;13;23;1;3PT Field Goal
Layup;-1;16;10;3;0;2015-16;49;1;1;2PT Field Goal
Jump Shot;-141;219;0;2;1;2000-01;0;26;0;3PT Field Goal
Jump Shot;71;8;6;1;0;2002-03;28;7;0;2PT Field Goal
Layup;0;0;0;2;0;2007-08;48;0;0;2PT Field Goal
Jump Shot;111;222;6;1;0;1998-99;39;24;0;3PT Field Goal
Layup;0;0;9;3;0;2007-08;44;0;0;2PT Field Goal
Jump Shot;5;201;9;3;0;2005-06;40;20;0;2PT Field Goal
Layup;15;22;6;4;0;2010-11;22;2;1;2PT Field Goal
Dunk;0;0;4;2;0;2002-03;5;0;1;2PT Field Goal
Layup;-16;11;6;3;0;2015-16;21;1;1;2PT Field Goal
Jump Shot;83;60;0;2;0;2012-13;0;10;0;2PT Field Goal
Jump Shot;154;112;4;1;0;2004-05;32;19;0;2PT Field Goal
Jump Shot;-158;36;2;3;0;2006-07;1;16;1;2PT Field Goal
Jump Shot;-26;50;6;2;1;2009-10;49;5;1;2PT Field Goal
Jump Shot;235;11;3;2;0;2015-16;22;23;1;3PT Field Goal
Jump Shot;-128;233;4;2;0;2014-15;12;26;0;3PT Field Goal
Jump Shot;192;166;9;2;0;2006-07;11;25;0;3PT Field Goal
Jump Shot;18;160;0;2;0;2000-01;0;16;0;2PT Field Goal
Jump Shot;-132;15;8;3;0;2001-02;5;13;0;2PT Field Goal
Jump Shot;159;105;4;3;1;2008-09;44;19;0;2PT Field Goal
Layup;0;0;3;4;0;2004-05;50;0;1;2PT Field Goal
Jump Shot;-18;66;6;2;0;2009-10;48;6;0;2PT Field Goal
Jump Shot;-123;224;11;1;0;2012-13;38;25;0;3PT Field Goal
Layup;0;0;8;4;0;2005-06;6;0;0;2PT Field Goal
Jump Shot;73;265;6;3;1;2009-10;10;27;1;3PT Field Goal
Jump Shot;-108;138;9;2;0;2009-10;20;17;1;2PT Field Goal
Jump Shot;115;128;6;2;0;2006-07;4;17;0;2PT Field Goal
Jump Shot;230;-14;8;1;0;2011-12;51;23;1;3PT Field Goal
Jump Shot;171;194;2;3;0;1997-98;29;25;1;3PT Field Goal
Dunk;6;-5;7;3;0;2012-13;28;0;1;2PT Field Goal
Jump Shot;220;129;11;3;0;2015-16;7;25;0;3PT Field Goal
Jump Shot;-186;169;9;2;0;1997-98;40;25;1;3PT Field Goal
Jump Shot;124;-16;11;1;0;2012-13;39;12;0;2PT Field Goal
Jump Shot;-10;51;0;1;0;2003-04;57;5;0;2PT Field Goal
Layup;0;0;0;1;0;2000-01;24;0;1;2PT Field Goal
Jump Shot;-169;88;11;1;0;2014-15;42;19;0;2PT Field Goal
Layup;0;0;2;3;0;2000-01;13;0;1;2PT Field Goal
Layup;0;0;3;4;0;2000-01;44;0;1;2PT Field Goal
Layup;0;0;1;1;0;2002-03;17;0;1;2PT Field Goal
Jump Shot;-194;149;3;3;0;2009-10;27;24;0;3PT Field Goal
Jump Shot;64;127;8;3;0;2012-13;57;14;1;2PT Field Goal
Jump Shot;142;47;0;2;1;2001-02;3;14;0;2PT Field Goal
Jump Shot;-81;89;10;1;0;1999-00;37;12;1;2PT Field Goal
Jump Shot;-168;199;4;1;0;2007-08;6;26;1;3PT Field Goal
Layup;0;0;6;3;0;2006-07;4;0;1;2PT Field Goal
Jump Shot;-171;102;2;2;0;2010-11;46;19;0;2PT Field Goal
Jump Shot;94;134;6;2;0;2008-09;27;16;1;2PT Field Goal
Jump Shot;-72;-9;5;3;0;2004-05;22;7;0;2PT Field Goal
Jump Shot;-30;120;5;2;0;2015-16;18;12;1;2PT Field Goal
Jump Shot;240;31;4;2;1;2005-06;35;24;0;3PT Field Goal
Jump Shot;110;146;7;2;1;2007-08;47;18;1;2PT Field Goal
Jump Shot;92;164;5;1;0;2007-08;24;18;1;2PT Field Goal
Jump Shot;10;204;9;1;0;2005-06;19;20;1;2PT Field Goal
Jump Shot;223;15;5;2;0;2010-11;16;22;0;3PT Field Goal
Layup;0;0;8;1;1;2003-04;37;0;1;2PT Field Goal
Jump Shot;166;0;11;1;0;2007-08;26;16;1;2PT Field Goal
Jump Shot;-31;49;8;1;0;2000-01;12;5;0;2PT Field Goal
Jump Shot;64;184;4;2;1;2000-01;28;19;0;2PT Field Goal
Layup;0;0;10;1;0;2000-01;23;0;0;2PT Field Goal
Jump Shot;61;155;5;4;0;2007-08;34;16;1;2PT Field Goal
Jump Shot;-221;108;5;4;1;2001-02;53;24;1;3PT Field Goal
Layup;-16;-8;3;1;0;2007-08;24;1;0;2PT Field Goal
Layup;0;0;9;3;0;2003-04;40;0;1;2PT Field Goal
Layup;0;0;2;1;0;2006-07;11;0;0;2PT Field Goal
Jump Shot;-205;186;2;4;0;2006-07;39;27;0;3PT Field Goal
Jump Shot;-10;246;0;3;0;2009-10;20;24;0;3PT Field Goal
Jump Shot;58;116;3;3;0;2009-10;51;12;1;2PT Field Goal
Jump Shot;-76;22;5;4;0;2010-11;3;7;0;2PT Field Goal
Jump Shot;-100;102;6;2;1;2010-11;2;14;0;2PT Field Goal
Jump Shot;135;121;10;4;0;2011-12;16;18;1;2PT Field Goal
Jump Shot;94;229;5;1;0;2003-04;40;24;0;3PT Field Goal
Jump Shot;121;249;1;2;0;2010-11;1;27;1;3PT Field Goal
Jump Shot;170;84;10;2;0;1996-97;8;18;1;2PT Field Goal
Jump Shot;32;120;9;4;1;2001-02;41;12;1;2PT Field Goal
Jump Shot;149;7;6;3;0;2014-15;55;14;1;2PT Field Goal
Jump Shot;159;210;4;4;0;2005-06;25;26;1;2PT Field Goal
Layup;17;9;2;1;0;2011-12;0;1;1;2PT Field Goal
Jump Shot;0;172;7;4;0;2012-13;55;17;0;2PT Field Goal
Layup;-3;22;9;3;0;2006-07;47;2;0;2PT Field Goal
Jump Shot;-142;181;8;2;0;1996-97;37;23;1;3PT Field Goal
Jump Shot;111;74;2;1;0;2011-12;18;13;0;2PT Field Goal
Jump Shot;-107;123;6;4;1;2003-04;20;16;0;2PT Field Goal
Layup;0;0;0;4;0;2009-10;14;0;0;2PT Field Goal
Jump Shot;174;191;2;1;0;2002-03;19;25;0;3PT Field Goal
Jump Shot;171;76;5;3;0;1998-99;48;18;0;2PT Field Goal
Jump Shot;121;230;6;4;1;2007-08;9;25;0;3PT Field Goal
Jump Shot;-95;237;0;2;1;2007-08;38;25;0;3PT Field Goal
Jump Shot;138;-23;8;4;0;2001-02;14;13;0;2PT Field Goal
Jump Shot;138;138;3;1;0;2006-07;16;19;0;2PT Field Goal
Jump Shot;-7;170;10;1;0;2011-12;52;17;1;2PT Field Goal
Jump Shot;228;-5;0;3;0;2007-08;11;22;1;3PT Field Goal
Jump Shot;124;74;0;1;0;2008-09;59;14;1;2PT Field Goal
Jump Shot;13;162;3;4;0;2010-11;27;16;0;2PT Field Goal
Jump Shot;-100;25;2;3;0;2012-13;17;10;1;2PT Field Goal
Dunk;0;0;11;1;0;2003-04;2;0;1;2PT Field Goal
Layup;18;34;3;2;0;2001-02;30;3;0;2PT Field Goal
Layup;-8;23;2;4;0;2012-13;34;2;1;2PT Field Goal
Jump Shot;-112;158;0;1;1;2007-08;45;19;1;2PT Field Goal
Jump Shot;-105;249;0;4;0;2012-13;13;27;1;3PT Field Goal
Layup;0;0;0;3;0;2007-08;46;0;1;2PT Field Goal
Jump Shot;-7;194;6;3;0;2012-13;10;19;0;2PT Field Goal
Jump Shot;62;86;4;2;1;2010-11;48;10;1;2PT Field Goal
Jump Shot;-192;56;2;5;0;2005-06;51;20;0;2PT Field Goal
Jump Shot;230;104;4;3;0;2011-12;21;25;0;3PT Field Goal
Jump Shot;175;68;3;4;0;1999-00;37;18;1;2PT Field Goal
Jump Shot;66;58;4;3;1;2007-08;51;8;0;2PT Field Goal
Layup;0;0;3;3;0;2001-02;44;0;0;2PT Field Goal
Jump Shot;-153;220;7;3;0;2004-05;38;26;0;3PT Field Goal
Layup;0;0;5;1;0;2006-07;55;0;0;2PT Field Goal
Jump Shot;-197;186;5;4;0;2005-06;35;27;1;3PT Field Goal
Layup;0;0;5;2;0;2003-04;43;0;1;2PT Field Goal
Jump Shot;136;-10;0;3;1;1999-00;36;13;0;2PT Field Goal
Jump Shot;53;71;1;3;0;2008-09;52;8;0;2PT Field Goal
Jump Shot;31;66;3;2;0;2011-12;14;7;1;2PT Field Goal
Jump Shot;-123;68;9;4;0;2006-07;5;14;0;2PT Field Goal
Dunk;0;0;0;5;0;2002-03;8;0;1;2PT Field Goal
Layup;21;17;4;2;0;2003-04;21;2;0;2PT Field Goal
Jump Shot;-106;-23;6;2;0;1998-99;49;10;1;2PT Field Goal
Jump Shot;-14;196;0;1;0;1999-00;7;19;1;2PT Field Goal
Layup;0;0;2;4;0;1997-98;2;0;0;2PT Field Goal
Jump Shot;-66;117;0;4;0;2004-05;11;13;1;2PT Field Goal
Jump Shot;-3;252;6;4;0;1997-98;13;25;1;3PT Field Goal
Jump Shot;-125;186;5;4;0;1996-97;48;22;0;3PT Field Goal
Layup;0;0;2;1;0;2003-04;28;0;0;2PT Field Goal
Jump Shot;-21;246;6;2;0;2009-10;0;24;0;3PT Field Goal
Jump Shot;186;18;3;1;0;2015-16;37;18;0;2PT Field Goal
Jump Shot;-181;18;2;3;0;2005-06;37;18;0;2PT Field Goal
Jump Shot;170;26;7;1;0;2012-13;28;17;0;2PT Field Goal
Jump Shot;-136;-19;10;3;0;2000-01;7;13;0;2PT Field Goal
Jump Shot;-90;143;0;1;1;2005-06;52;16;1;2PT Field Goal
Jump Shot;-89;150;1;2;0;2006-07;19;17;0;2PT Field Goal
Jump Shot;-6;70;0;3;0;1997-98;1;7;0;2PT Field Goal
Layup;0;0;4;3;0;2001-02;34;0;1;2PT Field Goal
Jump Shot;-30;194;8;1;0;2008-09;12;19;0;2PT Field Goal
Jump Shot;118;143;11;1;0;2007-08;19;18;0;2PT Field Goal
Jump Shot;-148;45;10;1;0;2004-05;25;15;1;2PT Field Goal
Jump Shot;-240;83;9;4;0;2010-11;8;25;0;3PT Field Goal
Jump Shot;24;99;5;2;1;2001-02;16;10;0;2PT Field Goal
Jump Shot;195;22;7;4;0;2011-12;15;19;0;2PT Field Goal
Jump Shot;-16;34;4;4;0;2011-12;54;3;0;2PT Field Goal
Jump Shot;140;172;6;1;0;2008-09;58;22;0;2PT Field Goal
Jump Shot;53;67;0;1;1;2009-10;26;8;0;2PT Field Goal
Jump Shot;148;76;3;4;0;2002-03;46;16;1;2PT Field Goal
Layup;-24;12;0;2;0;2011-12;0;2;0;2PT Field Goal
Jump Shot;-150;9;9;2;0;2002-03;56;15;1;2PT Field Goal
Jump Shot;-149;153;9;3;0;2002-03;36;21;1;2PT Field Goal
Layup;0;0;6;3;0;1999-00;49;0;0;2PT Field Goal
Jump Shot;-227;-19;4;3;0;2003-04;51;22;0;3PT Field Goal
Layup;0;0;6;2;0;1996-97;18;0;1;2PT Field Goal
Dunk;0;0;7;3;1;2002-03;23;0;1;2PT Field Goal
Jump Shot;200;165;10;1;0;2011-12;58;25;0;3PT Field Goal
Jump Shot;83;33;7;3;0;2012-13;14;8;0;2PT Field Goal
Dunk;0;0;3;3;0;2002-03;4;0;1;2PT Field Goal
Jump Shot;10;81;4;2;0;2002-03;40;8;1;2PT Field Goal
Jump Shot;193;0;2;4;1;2000-01;6;19;0;2PT Field Goal
Layup;0;0;7;3;1;2001-02;42;0;1;2PT Field Goal
Layup;12;12;0;1;0;1999-00;27;1;0;2PT Field Goal
Layup;0;0;10;1;1;2001-02;22;0;0;2PT Field Goal
Jump Shot;-149;4;5;2;0;2012-13;26;14;1;2PT Field Goal
Jump Shot;-120;136;5;1;0;2015-16;35;18;0;2PT Field Goal
Jump Shot;74;145;10;1;0;1999-00;10;16;1;2PT Field Goal
Jump Shot;59;276;6;3;0;1999-00;5;28;1;3PT Field Goal
Jump Shot;-138;210;0;4;0;2006-07;4;25;1;3PT Field Goal
Jump Shot;115;220;0;4;0;2002-03;3;24;0;3PT Field Goal
Jump Shot;125;151;6;1;0;2002-03;19;19;0;2PT Field Goal
Dunk;0;0;4;2;0;2008-09;11;0;1;2PT Field Goal
Jump Shot;115;4;1;1;0;2001-02;8;11;1;2PT Field Goal
Jump Shot;-108;158;10;3;0;2006-07;30;19;1;2PT Field Goal
Layup;0;0;0;3;0;2004-05;28;0;0;2PT Field Goal
Layup;0;0;0;3;0;2007-08;1;0;1;2PT Field Goal
Dunk;4;9;3;2;0;2011-12;54;0;1;2PT Field Goal
Jump Shot;110;10;5;2;0;2007-08;59;11;0;2PT Field Goal
Dunk;-2;18;8;1;0;2002-03;33;1;1;2PT Field Goal
Jump Shot;66;229;7;2;1;2003-04;57;23;0;3PT Field Goal
Layup;1;1;11;1;1;2011-12;11;0;1;2PT Field Goal
Jump Shot;227;31;11;1;0;2004-05;36;22;1;3PT Field Goal
Jump Shot;159;209;9;4;0;2009-10;47;26;1;3PT Field Goal
Jump Shot;45;190;11;3;0;2012-13;47;19;1;2PT Field Goal
Jump Shot;-120;105;5;3;0;2015-16;52;15;1;2PT Field Goal
Jump Shot;-111;152;1;1;0;2000-01;24;18;0;2PT Field Goal
Jump Shot;138;82;6;1;0;2004-05;32;16;0;2PT Field Goal
Jump Shot;92;2;2;1;0;2004-05;20;9;0;2PT Field Goal
Jump Shot;177;177;0;2;0;1997-98;40;25;0;3PT Field Goal
Layup;0;0;3;3;0;2000-01;30;0;0;2PT Field Goal
Jump Shot;-105;133;1;1;0;2001-02;16;16;1;2PT Field Goal
Jump Shot;-96;16;7;3;0;1999-00;49;9;1;2PT Field Goal
Jump Shot;-62;10;6;3;1;2007-08;42;6;0;2PT Field Goal
Jump Shot;184;6;6;1;1;2009-10;17;18;0;2PT Field Goal
Layup;0;0;1;1;1;2007-08;28;0;0;2PT Field Goal
Jump Shot;-24;227;7;1;0;2008-09;31;22;0;2PT Field Goal
Jump Shot;226;-2;4;2;0;2008-09;31;22;1;3PT Field Goal
Jump Shot;-4;61;1;3;0;2010-11;9;6;1;2PT Field Goal
Dunk;0;0;0;4;0;2002-03;19;0;0;2PT Field Goal
Jump Shot;-169;3;9;3;0;2006-07;2;16;0;2PT Field Goal
Jump Shot;-95;28;10;1;0;2010-11;14;9;0;2PT Field Goal
Jump Shot;223;130;3;1;0;2006-07;54;25;0;3PT Field Goal
Jump Shot;-118;153;2;3;1;2007-08;42;19;0;2PT Field Goal
Jump Shot;-69;47;10;3;1;2001-02;9;8;0;2PT Field Goal
Jump Shot;152;11;11;1;0;2008-09;41;15;1;2PT Field Goal
Layup;0;0;0;3;1;2008-09;23;0;0;2PT Field Goal
Layup;0;0;1;2;0;2006-07;39;0;0;2PT Field Goal
Jump Shot;-140;122;9;1;0;2007-08;50;18;0;2PT Field Goal
Jump Shot;-150;26;5;3;0;2012-13;18;15;0;2PT Field Goal
Jump Shot;-40;154;11;1;0;2011-12;2;15;0;2PT Field Goal
Jump Shot;-19;72;3;1;1;2009-10;51;7;0;2PT Field Goal
Jump Shot;-225;122;0;1;0;2004-05;30;25;0;3PT Field Goal
Layup;15;10;5;4;0;2005-06;56;1;0;2PT Field Goal
Layup;0;0;6;2;0;1999-00;29;0;0;2PT Field Goal
Jump Shot;47;165;1;4;0;2012-13;36;17;0;2PT Field Goal
Layup;0;0;4;1;0;2000-01;56;0;0;2PT Field Goal
Dunk;0;0;4;1;0;2003-04;4;0;1;2PT Field Goal
Jump Shot;-139;129;5;1;0;2009-10;34;18;0;2PT Field Goal
Layup;-16;2;9;3;0;2005-06;6;1;0;2PT Field Goal
Jump Shot;-151;209;0;2;0;2002-03;34;25;1;3PT Field Goal
Layup;0;0;3;1;0;2001-02;6;0;1;2PT Field Goal
Jump Shot;-108;66;6;1;0;2008-09;5;12;0;2PT Field Goal
Layup;12;11;8;3;0;2015-16;0;1;0;2PT Field Goal
Jump Shot;-101;-6;0;2;0;2000-01;52;10;1;2PT Field Goal
Layup;0;0;5;2;0;1996-97;31;0;1;2PT Field Goal
Jump Shot;-113;137;6;2;1;2002-03;8;17;0;2PT Field Goal
Layup;0;0;8;1;0;2001-02;49;0;1;2PT Field Goal
Jump Shot;-105;164;0;3;0;2004-05;24;19;0;2PT Field Goal
Jump Shot;78;61;7;1;0;2010-11;32;9;1;2PT Field Goal
Dunk;0;0;7;3;0;2002-03;46;0;0;2PT Field Goal
Jump Shot;149;138;2;3;0;2007-08;44;20;1;2PT Field Goal
Jump Shot;123;133;10;3;0;2007-08;0;18;0;2PT Field Goal
Jump Shot;95;48;4;4;0;2011-12;46;10;0;2PT Field Goal
Jump Shot;61;153;11;4;0;2003-04;16;16;0;2PT Field Goal
Jump Shot;-82;140;9;3;0;2007-08;25;16;0;2PT Field Goal
Jump Shot;-45;110;5;4;0;2009-10;42;11;0;2PT Field Goal
Dunk;6;26;1;2;0;2011-12;44;2;1;2PT Field Goal
Layup;-5;9;9;3;0;2014-15;10;1;1;2PT Field Goal
Layup;18;4;4;1;0;2010-11;55;1;0;2PT Field Goal
Dunk;0;0;4;2;1;1999-00;15;0;1;2PT Field Goal
Layup;-24;1;2;4;0;2012-13;27;2;1;2PT Field Goal
Jump Shot;197;141;7;2;0;2015-16;56;24;1;3PT Field Goal
Layup;10;6;9;1;0;2010-11;8;1;1;2PT Field Goal
Jump Shot;149;211;10;3;0;2012-13;5;25;0;3PT Field Goal
Jump Shot;-124;1;2;2;0;1997-98;2;12;0;2PT Field Goal
Jump Shot;195;33;2;2;0;2004-05;54;19;1;2PT Field Goal
Jump Shot;248;15;7;1;0;2007-08;48;24;0;3PT Field Goal
Layup;1;3;7;1;0;2010-11;34;0;1;2PT Field Goal
Jump Shot;114;1;8;4;0;2012-13;12;11;0;2PT Field Goal
Jump Shot;182;8;4;3;0;2007-08;52;18;0;2PT Field Goal
Jump Shot;143;60;10;1;0;2008-09;59;15;0;2PT Field Goal
Jump Shot;18;137;3;4;0;2001-02;40;13;0;2PT Field Goal
Jump Shot;-36;245;0;1;0;2007-08;36;24;0;3PT Field Goal
Dunk;0;0;7;1;0;2007-08;21;0;1;2PT Field Goal
Jump Shot;62;192;0;1;0;2000-01;48;20;0;2PT Field Goal
Jump Shot;-32;20;4;2;0;2011-12;1;3;0;2PT Field Goal
Jump Shot;-138;241;0;2;0;2010-11;0;27;0;3PT Field Goal
Jump Shot;176;189;4;3;0;2014-15;13;25;1;3PT Field Goal
Layup;0;0;10;4;0;1996-97;44;0;1;2PT Field Goal
Jump Shot;68;146;9;3;1;2000-01;17;16;0;2PT Field Goal
Jump Shot;61;138;11;3;0;2003-04;6;15;0;2PT Field Goal
Layup;0;0;7;1;0;2006-07;48;0;0;2PT Field Goal
Jump Shot;-16;162;5;4;0;2012-13;0;16;0;2PT Field Goal
Layup;0;0;3;2;0;2003-04;17;0;0;2PT Field Goal
Jump Shot;-29;80;4;1;0;2009-10;54;8;0;2PT Field Goal
Jump Shot;223;4;5;4;0;2008-09;58;22;1;3PT Field Goal
Jump Shot;-50;236;9;1;0;2000-01;34;24;0;3PT Field Goal
Layup;0;0;0;3;0;2001-02;2;0;0;2PT Field Goal
Dunk;0;0;5;2;0;1997-98;12;0;1;2PT Field Goal
Dunk;0;0;5;2;1;2001-02;8;0;0;2PT Field Goal
Layup;-46;21;10;4;0;1999-00;20;5;0;2PT Field Goal
Jump Shot;169;-5;10;3;1;2007-08;29;16;0;2PT Field Goal
Jump Shot;-205;172;4;4;1;2009-10;33;26;0;3PT Field Goal
Jump Shot;-3;173;8;3;0;2005-06;28;17;0;2PT Field Goal
Jump Shot;-177;16;6;3;1;1999-00;36;17;0;2PT Field Goal
Jump Shot;94;96;3;3;0;2009-10;42;13;0;2PT Field Goal
Jump Shot;87;232;5;1;0;2015-16;38;24;0;3PT Field Goal
Jump Shot;171;177;7;2;0;1998-99;25;24;0;3PT Field Goal
Jump Shot;35;63;3;3;0;1998-99;24;7;0;2PT Field Goal
Jump Shot;186;-13;4;1;1;2007-08;7;18;0;2PT Field Goal
Jump Shot;-231;4;5;4;0;2000-01;55;23;0;3PT Field Goal
Jump Shot;3;87;6;4;0;2000-01;22;8;0;2PT Field Goal
Jump Shot;-231;-4;0;3;0;2000-01;29;23;1;3PT Field Goal
Layup;0;0;9;1;0;2005-06;34;0;0;2PT Field Goal
Jump Shot;-190;173;1;3;0;2008-09;10;25;0;3PT Field Goal
Jump Shot;116;244;4;1;0;2009-10;54;27;0;3PT Field Goal
Jump Shot;-56;31;9;1;1;2011-12;25;6;0;2PT Field Goal
Jump Shot;-51;96;6;1;1;2009-10;4;10;0;2PT Field Goal
Layup;0;0;10;2;0;2002-03;5;0;0;2PT Field Goal
Jump Shot;84;145;2;3;0;2011-12;35;16;1;2PT Field Goal
Layup;0;0;11;1;0;2005-06;25;0;1;2PT Field Goal
Jump Shot;236;15;2;1;0;2010-11;42;23;0;3PT Field Goal
Jump Shot;143;-8;10;3;0;1998-99;56;14;0;2PT Field Goal
Jump Shot;125;176;4;2;1;2008-09;40;21;0;2PT Field Goal
Jump Shot;20;123;4;1;0;2002-03;14;12;0;2PT Field Goal
Jump Shot;102;184;7;1;0;1998-99;34;21;1;2PT Field Goal
Jump Shot;115;105;2;4;1;2007-08;17;15;1;2PT Field Goal
Jump Shot;132;118;4;3;1;2000-01;36;17;1;2PT Field Goal
Dunk;0;0;7;2;0;2001-02;13;0;1;2PT Field Goal
Jump Shot;-25;99;4;4;1;2007-08;50;10;0;2PT Field Goal
Jump Shot;134;163;5;1;0;2000-01;22;21;0;2PT Field Goal
Jump Shot;-130;218;4;3;0;2015-16;2;25;0;3PT Field Goal
Jump Shot;68;13;6;1;1;2000-01;29;6;0;2PT Field Goal
Dunk;0;0;9;2;0;2000-01;29;0;1;2PT Field Goal
Jump Shot;86;192;10;3;0;2014-15;48;21;1;2PT Field Goal
Layup;0;0;10;2;0;2008-09;58;0;1;2PT Field Goal
Jump Shot;-237;-6;8;3;0;2015-16;7;23;1;3PT Field Goal
Jump Shot;158;25;1;3;0;1998-99;52;15;0;2PT Field Goal
Jump Shot;-176;-4;2;3;0;2001-02;31;17;1;2PT Field Goal
Jump Shot;181;71;10;2;0;1996-97;15;19;0;2PT Field Goal
Jump Shot;141;178;1;4;0;2007-08;34;22;0;2PT Field Goal
Jump Shot;111;263;5;2;0;2008-09;31;28;1;3PT Field Goal
Layup;0;0;2;2;1;2001-02;21;0;1;2PT Field Goal
Dunk;-8;9;4;1;0;2012-13;23;1;1;2PT Field Goal
Jump Shot;-42;216;7;1;0;1998-99;53;22;0;2PT Field Goal
Jump Shot;-187;0;10;3;0;2010-11;44;18;0;2PT Field Goal
Jump Shot;73;19;6;4;0;1996-97;34;7;0;2PT Field Goal
Jump Shot;70;213;11;3;1;2010-11;2;22;0;2PT Field Goal
Jump Shot;138;-3;7;2;0;1999-00;28;13;0;2PT Field Goal
Jump Shot;140;-36;11;1;0;2001-02;45;14;1;2PT Field Goal
Jump Shot;-44;153;0;3;0;2002-03;31;15;0;2PT Field Goal
Jump Shot;130;82;2;2;0;2005-06;58;15;1;2PT Field Goal
Jump Shot;147;106;11;2;0;1999-00;29;18;0;2PT Field Goal
Jump Shot;85;151;10;4;0;2002-03;29;17;1;2PT Field Goal
Jump Shot;133;151;4;2;0;2005-06;39;20;0;2PT Field Goal
Jump Shot;-56;244;1;3;0;2009-10;4;25;1;3PT Field Goal
Jump Shot;-4;42;1;2;1;2009-10;13;4;1;2PT Field Goal
Layup;0;0;2;3;0;2009-10;31;0;1;2PT Field Goal
Jump Shot;-161;192;10;3;0;2010-11;57;25;0;3PT Field Goal
Jump Shot;126;156;7;2;0;2005-06;41;20;1;2PT Field Goal
Jump Shot;-87;160;0;3;0;2011-12;49;18;0;2PT Field Goal
Layup;0;0;2;2;0;2004-05;30;0;1;2PT Field Goal
Jump Shot;103;158;0;2;0;2005-06;30;18;0;2PT Field Goal
Jump Shot;-94;18;3;1;0;2015-16;5;9;1;2PT Field Goal
Jump Shot;112;133;1;2;0;2005-06;52;17;0;2PT Field Goal
Jump Shot;-156;130;2;3;0;2005-06;27;20;0;2PT Field Goal
Layup;0;0;3;3;0;2009-10;9;0;1;2PT Field Goal
Jump Shot;-76;25;1;4;0;2009-10;32;8;0;2PT Field Goal
Jump Shot;42;37;0;3;0;2012-13;25;5;0;2PT Field Goal
Layup;0;0;3;1;0;1998-99;50;0;1;2PT Field Goal
Jump Shot;1;89;11;2;0;1997-98;19;8;0;2PT Field Goal
Jump Shot;143;150;8;4;0;2002-03;30;20;1;2PT Field Goal
Jump Shot;-159;204;5;3;0;2004-05;23;25;0;3PT Field Goal
Jump Shot;-2;69;2;2;0;2006-07;59;6;0;2PT Field Goal
Jump Shot;64;158;3;3;0;2001-02;1;17;1;2PT Field Goal
Dunk;0;1;3;1;0;2014-15;36;0;1;2PT Field Goal
Jump Shot;205;154;2;4;0;1997-98;3;25;1;3PT Field Goal
Layup;-16;0;10;1;0;2009-10;44;1;1;2PT Field Goal
Jump Shot;-58;17;3;3;0;2000-01;55;6;0;2PT Field Goal
Jump Shot;133;127;6;4;0;2012-13;35;18;1;2PT Field Goal
Jump Shot;90;184;9;4;0;2005-06;25;20;0;2PT Field Goal
Jump Shot;125;151;8;1;0;2006-07;52;19;1;2PT Field Goal
Jump Shot;89;143;1;1;0;1999-00;15;16;0;2PT Field Goal
Jump Shot;105;205;2;4;1;2008-09;30;23;0;2PT Field Goal
Jump Shot;176;219;6;4;0;2002-03;14;28;0;3PT Field Goal
Layup;0;0;4;2;0;2006-07;16;0;1;2PT Field Goal
Jump Shot;-90;140;0;2;0;2007-08;0;16;0;2PT Field Goal
Jump Shot;20;66;10;1;0;1999-00;26;6;1;2PT Field Goal
Jump Shot;24;116;2;2;0;2010-11;34;11;0;2PT Field Goal
Jump Shot;85;135;1;1;0;2000-01;3;15;1;2PT Field Goal
Layup;0;0;0;2;1;2009-10;4;0;0;2PT Field Goal
Jump Shot;88;137;6;1;0;2009-10;40;16;1;2PT Field Goal
Layup;-13;-5;0;2;0;2011-12;25;1;1;2PT Field Goal
Jump Shot;-212;-18;0;2;0;2004-05;21;21;1;2PT Field Goal
Layup;0;0;8;4;0;1997-98;38;0;1;2PT Field Goal
